Region,Species,LifeStage,Season,maxWaterTemp
South,Steelhead/Rainbow Trout,Juvenile,Winter,21.11111111111111
South,Chinook Salmon,Juvenile,Winter,21
South,Chinook Salmon,Larvae,Winter,16.666666666666668
South,Sacramento Blackfish,Adult,Winter,16.666666666666668
South,Sacramento Blackfish,Juvenile-Larvae,Winter,17.333333333333332
South,Sacramento Splittail,Adult,Winter,20
South,Sacramento Splittail,Juvenile,Winter,18.88888888888889
South,Sacramento Pikeminnow,Juvenile-Larvae,Winter,18.5
South,Longfin Smelt,Adult,Winter,12.833333333333334
South,Longfin Smelt,Juvenile,Winter,20
Suisun Bay,Green Sturgeon,Juvenile,Winter,15.199999809265137
Suisun Bay,White Sturgeon,Adult,Winter,10.199999809265137
Suisun Bay,White Sturgeon,Juvenile,Winter,15.100000381469727
Suisun Bay,White Sturgeon,Larvae,Winter,11.300000190734863
Suisun Bay,Sacramento Sucker,Adult,Winter,14
Suisun Bay,Sacramento Sucker,Juvenile,Winter,16.700000762939453
Suisun Bay,Prickly Sculpin,Adult,Winter,15.800000190734863
Suisun Bay,Prickly Sculpin,Juvenile-Larvae,Winter,17.600000381469727
Suisun Bay,Threespine Stickleback,Adult,Winter,18
Suisun Bay,Threespine Stickleback,Juvenile-Larvae,Winter,17.200000762939453
Suisun Bay,Wakasagi,Adult,Winter,13.800000190734863
Suisun Bay,Wakasagi,Larvae,Winter,12.899999618530273
Suisun Bay,Delta Smelt,Adult,Winter,17
Suisun Bay,Delta Smelt,Juvenile,Winter,14.88888931274414
Suisun Bay,Delta Smelt,Larvae,Winter,15.100000381469727
Suisun Bay,Tule Perch,Adult,Winter,17.399999618530273
Suisun Bay,Tule Perch,Juvenile-Larvae,Winter,17.399999618530273
Suisun Bay,Hitch,Adult,Winter,12.777778625488281
Suisun Bay,Hitch,Juvenile-Larvae,Winter,12.399999618530273
Suisun Bay,Mississippi Silverside,Adult,Winter,15.5
Suisun Bay,Mississippi Silverside,Juvenile,Winter,15
Suisun Bay,Largemouth Bass,Juvenile,Winter,14.5
Suisun Bay,Striped Bass,Adult,Winter,17
Suisun Bay,Striped Bass,Juvenile,Winter,18.100000381469727
Suisun Bay,Striped Bass,Larvae,Winter,17.200000762939453
Suisun Bay,Steelhead/Rainbow Trout,Adult,Winter,15.5
Suisun Bay,Steelhead/Rainbow Trout,Juvenile,Winter,17.200000762939453
Suisun Bay,Chinook Salmon,Adult,Winter,11.399999618530273
Suisun Bay,Chinook Salmon,Juvenile,Winter,18.5
Suisun Bay,Chinook Salmon,Larvae,Winter,14.199999809265137
Suisun Bay,Sacramento Splittail,Adult,Winter,17.399999618530273
Suisun Bay,Sacramento Splittail,Juvenile,Winter,17.399999618530273
Suisun Bay,Sacramento Pikeminnow,Adult,Winter,15.300000190734863
Suisun Bay,Sacramento Pikeminnow,Juvenile-Larvae,Winter,15.5
Suisun Bay,Longfin Smelt,Adult,Winter,17.200000762939453
Suisun Bay,Longfin Smelt,Juvenile,Winter,18
Suisun Bay,Longfin Smelt,Larvae,Winter,17.600000381469727
Suisun Marsh,White Sturgeon,Juvenile,Winter,16.700000762939453
Suisun Marsh,Sacramento Sucker,Adult,Winter,19
Suisun Marsh,Sacramento Sucker,Juvenile,Winter,19
Suisun Marsh,Prickly Sculpin,Adult,Winter,18.5
Suisun Marsh,Prickly Sculpin,Juvenile-Larvae,Winter,20
Suisun Marsh,Threespine Stickleback,Adult,Winter,19.200000762939453
Suisun Marsh,Threespine Stickleback,Juvenile-Larvae,Winter,20
Suisun Marsh,Wakasagi,Adult,Winter,12.5
Suisun Marsh,Delta Smelt,Adult,Winter,18.299999237060547
Suisun Marsh,Delta Smelt,Juvenile,Winter,14.699999809265137
