StressAllDay,Region,Station,WY,fWY,nDays,totalDays,propDays
Y,Central,VIC,2014,2014,26,365,0.071
N,Central,VIC,2015,2015,328,363,0.904
Y,Central,VIC,2015,2015,35,363,0.096
N,Central,VIC,2016,2016,358,364,0.984
Y,Central,VIC,2016,2016,6,364,0.016
N,Central,VIC,2017,2017,355,363,0.978
Y,Central,VIC,2017,2017,8,363,0.022
N,Central,VIC,2018,2018,350,362,0.967
Y,Central,VIC,2018,2018,12,362,0.033
N,Central,VIC,2019,2019,342,362,0.945
Y,Central,VIC,2019,2019,20,362,0.055
N,Confluence,ANC,2010,2010,350,350,1
Y,Confluence,ANC,2010,2010,0,350,0
N,Confluence,ANC,2011,2011,363,363,1
Y,Confluence,ANC,2011,2011,0,363,0
N,Confluence,ANC,2012,2012,364,364,1
Y,Confluence,ANC,2012,2012,0,364,0
N,Confluence,ANC,2013,2013,349,349,1
Y,Confluence,ANC,2013,2013,0,349,0
N,Confluence,ANC,2014,2014,363,363,1
Y,Confluence,ANC,2014,2014,0,363,0
N,Confluence,ANC,2015,2015,357,357,1
Y,Confluence,ANC,2015,2015,0,357,0
N,Confluence,ANC,2016,2016,365,365,1
Y,Confluence,ANC,2016,2016,0,365,0
N,Confluence,ANC,2017,2017,359,359,1
Y,Confluence,ANC,2017,2017,0,359,0
N,Confluence,ANH,2010,2010,363,363,1
Y,Confluence,ANH,2010,2010,0,363,0
N,Confluence,ANH,2011,2011,363,363,1
Y,Confluence,ANH,2011,2011,0,363,0
N,Confluence,ANH,2012,2012,366,366,1
Y,Confluence,ANH,2012,2012,0,366,0
N,Confluence,ANH,2013,2013,365,365,1
Y,Confluence,ANH,2013,2013,0,365,0
N,Confluence,ANH,2014,2014,358,358,1
Y,Confluence,ANH,2014,2014,0,358,0
N,Confluence,ANH,2015,2015,362,362,1
Y,Confluence,ANH,2015,2015,0,362,0
N,Confluence,ANH,2016,2016,363,363,1
Y,Confluence,ANH,2016,2016,0,363,0
N,Confluence,ANH,2017,2017,360,360,1
Y,Confluence,ANH,2017,2017,0,360,0
N,Confluence,ANH,2018,2018,362,362,1
Y,Confluence,ANH,2018,2018,0,362,0
N,Confluence,ANH,2019,2019,362,362,1
Y,Confluence,ANH,2019,2019,0,362,0
N,Confluence,BLP,2011,2011,353,353,1
Y,Confluence,BLP,2011,2011,0,353,0
N,Confluence,BLP,2012,2012,364,364,1
Y,Confluence,BLP,2012,2012,0,364,0
N,Confluence,BLP,2013,2013,339,339,1
Y,Confluence,BLP,2013,2013,0,339,0
N,Confluence,BLP,2014,2014,363,363,1
Y,Confluence,BLP,2014,2014,0,363,0
N,Confluence,BLP,2015,2015,338,338,1
Y,Confluence,BLP,2015,2015,0,338,0
N,Confluence,BLP,2016,2016,355,355,1
Y,Confluence,BLP,2016,2016,0,355,0
N,Confluence,BLP,2017,2017,355,355,1
Y,Confluence,BLP,2017,2017,0,355,0
N,Confluence,BLP,2018,2018,363,363,1
Y,Confluence,BLP,2018,2018,0,363,0
N,Confluence,BLP,2019,2019,365,365,1
Y,Confluence,BLP,2019,2019,0,365,0
N,Confluence,EMM,2010,2010,358,358,1
Y,Confluence,EMM,2010,2010,0,358,0
N,Confluence,EMM,2011,2011,360,360,1
Y,Confluence,EMM,2011,2011,0,360,0
N,Confluence,EMM,2012,2012,352,352,1
Y,Confluence,EMM,2012,2012,0,352,0
N,Confluence,EMM,2013,2013,363,363,1
Y,Confluence,EMM,2013,2013,0,363,0
N,Confluence,EMM,2014,2014,365,365,1
Y,Confluence,EMM,2014,2014,0,365,0
N,Confluence,EMM,2015,2015,363,363,1
Y,Confluence,EMM,2015,2015,0,363,0
N,Confluence,EMM,2016,2016,364,364,1
Y,Confluence,EMM,2016,2016,0,364,0
N,Confluence,EMM,2017,2017,362,362,1
Y,Confluence,EMM,2017,2017,0,362,0
N,Confluence,EMM,2018,2018,358,358,1
Y,Confluence,EMM,2018,2018,0,358,0
N,Confluence,EMM,2019,2019,365,365,1
Y,Confluence,EMM,2019,2019,0,365,0
N,Confluence,FAL,2010,2010,356,356,1
Y,Confluence,FAL,2010,2010,0,356,0
N,Confluence,FAL,2011,2011,362,362,1
Y,Confluence,FAL,2011,2011,0,362,0
N,Confluence,FAL,2012,2012,363,363,1
Y,Confluence,FAL,2012,2012,0,363,0
N,Confluence,FAL,2013,2013,359,359,1
Y,Confluence,FAL,2013,2013,0,359,0
N,Confluence,FAL,2014,2014,349,349,1
Y,Confluence,FAL,2014,2014,0,349,0
N,Confluence,FAL,2015,2015,361,361,1
Y,Confluence,FAL,2015,2015,0,361,0
N,Confluence,FAL,2016,2016,361,361,1
Y,Confluence,FAL,2016,2016,0,361,0
N,Confluence,FAL,2017,2017,365,365,1
Y,Confluence,FAL,2017,2017,0,365,0
N,Confluence,FAL,2018,2018,343,343,1
Y,Confluence,FAL,2018,2018,0,343,0
N,Confluence,FAL,2019,2019,349,349,1
Y,Confluence,FAL,2019,2019,0,349,0
N,Confluence,JER,2010,2010,361,361,1
Y,Confluence,JER,2010,2010,0,361,0
N,Confluence,JER,2011,2011,362,362,1
Y,Confluence,JER,2011,2011,0,362,0
N,Confluence,JER,2012,2012,361,361,1
Y,Confluence,JER,2012,2012,0,361,0
N,Confluence,JER,2013,2013,365,365,1
Y,Confluence,JER,2013,2013,0,365,0
N,Confluence,JER,2014,2014,365,365,1
Y,Confluence,JER,2014,2014,0,365,0
N,Confluence,JER,2015,2015,363,363,1
Y,Confluence,JER,2015,2015,0,363,0
N,Confluence,JER,2016,2016,364,364,1
Y,Confluence,JER,2016,2016,0,364,0
N,Confluence,JER,2017,2017,365,365,1
Y,Confluence,JER,2017,2017,0,365,0
N,Confluence,JER,2018,2018,362,362,1
Y,Confluence,JER,2018,2018,0,362,0
N,Confluence,JER,2019,2019,363,363,1
Y,Confluence,JER,2019,2019,0,363,0
N,Confluence,LPS,2011,2011,363,363,1
Y,Confluence,LPS,2011,2011,0,363,0
N,Confluence,LPS,2012,2012,365,365,1
Y,Confluence,LPS,2012,2012,0,365,0
N,Confluence,LPS,2013,2013,361,363,0.994
Y,Confluence,LPS,2013,2013,2,363,0.006
N,Confluence,LPS,2014,2014,360,365,0.986
Y,Confluence,LPS,2014,2014,5,365,0.014
N,Confluence,LPS,2015,2015,356,362,0.983
Y,Confluence,LPS,2015,2015,6,362,0.017
N,Confluence,LPS,2016,2016,362,362,1
Y,Confluence,LPS,2016,2016,0,362,0
N,Confluence,LPS,2017,2017,357,357,1
Y,Confluence,LPS,2017,2017,0,357,0
N,Confluence,LPS,2018,2018,359,359,1
Y,Confluence,LPS,2018,2018,0,359,0
N,Confluence,LPS,2019,2019,353,353,1
Y,Confluence,LPS,2019,2019,0,353,0
N,Confluence,MOK,2010,2010,365,365,1
Y,Confluence,MOK,2010,2010,0,365,0
N,Confluence,MOK,2011,2011,365,365,1
Y,Confluence,MOK,2011,2011,0,365,0
N,Confluence,MOK,2012,2012,364,364,1
Y,Confluence,MOK,2012,2012,0,364,0
N,Confluence,MOK,2013,2013,347,347,1
Y,Confluence,MOK,2013,2013,0,347,0
N,Confluence,MOK,2014,2014,354,356,0.994
Y,Confluence,MOK,2014,2014,2,356,0.006
N,Confluence,MOK,2016,2016,350,350,1
Y,Confluence,MOK,2016,2016,0,350,0
N,Confluence,MOK,2017,2017,363,363,1
Y,Confluence,MOK,2017,2017,0,363,0
N,Confluence,MOK,2018,2018,344,344,1
Y,Confluence,MOK,2018,2018,0,344,0
N,Confluence,MOK,2019,2019,341,341,1
Y,Confluence,MOK,2019,2019,0,341,0
N,Confluence,OSJ,2010,2010,363,363,1
Y,Confluence,OSJ,2010,2010,0,363,0
N,Confluence,OSJ,2011,2011,363,363,1
Y,Confluence,OSJ,2011,2011,0,363,0
N,Confluence,OSJ,2012,2012,366,366,1
Y,Confluence,OSJ,2012,2012,0,366,0
N,Confluence,OSJ,2014,2014,362,362,1
Y,Confluence,OSJ,2014,2014,0,362,0
N,Confluence,OSJ,2015,2015,349,349,1
Y,Confluence,OSJ,2015,2015,0,349,0
N,Confluence,OSJ,2016,2016,361,361,1
Y,Confluence,OSJ,2016,2016,0,361,0
N,Confluence,OSJ,2017,2017,362,362,1
Y,Confluence,OSJ,2017,2017,0,362,0
N,Confluence,OSJ,2018,2018,349,349,1
Y,Confluence,OSJ,2018,2018,0,349,0
N,Confluence,OSJ,2019,2019,334,334,1
Y,Confluence,OSJ,2019,2019,0,334,0
N,Confluence,PPT,2010,2010,363,363,1
Y,Confluence,PPT,2010,2010,0,363,0
N,Confluence,PPT,2011,2011,363,363,1
Y,Confluence,PPT,2011,2011,0,363,0
N,Confluence,PPT,2012,2012,363,363,1
Y,Confluence,PPT,2012,2012,0,363,0
N,Confluence,PPT,2013,2013,362,362,1
Y,Confluence,PPT,2013,2013,0,362,0
N,Confluence,PPT,2014,2014,365,365,1
Y,Confluence,PPT,2014,2014,0,365,0
N,Confluence,PPT,2015,2015,360,360,1
Y,Confluence,PPT,2015,2015,0,360,0
N,Confluence,PPT,2016,2016,362,362,1
Y,Confluence,PPT,2016,2016,0,362,0
N,Confluence,PPT,2017,2017,361,361,1
Y,Confluence,PPT,2017,2017,0,361,0
N,Confluence,PPT,2018,2018,362,362,1
Y,Confluence,PPT,2018,2018,0,362,0
N,Confluence,PPT,2019,2019,361,361,1
Y,Confluence,PPT,2019,2019,0,361,0
N,Confluence,PRI,2010,2010,361,361,1
Y,Confluence,PRI,2010,2010,0,361,0
N,Confluence,PRI,2011,2011,363,363,1
Y,Confluence,PRI,2011,2011,0,363,0
N,Confluence,PRI,2012,2012,366,366,1
Y,Confluence,PRI,2012,2012,0,366,0
N,Confluence,PRI,2013,2013,359,359,1
Y,Confluence,PRI,2013,2013,0,359,0
N,Confluence,PRI,2014,2014,324,324,1
Y,Confluence,PRI,2014,2014,0,324,0
N,Confluence,PRI,2015,2015,352,352,1
Y,Confluence,PRI,2015,2015,0,352,0
N,Confluence,PRI,2016,2016,349,349,1
Y,Confluence,PRI,2016,2016,0,349,0
N,Confluence,PRI,2017,2017,351,351,1
Y,Confluence,PRI,2017,2017,0,351,0
N,Confluence,PRI,2018,2018,352,352,1
Y,Confluence,PRI,2018,2018,0,352,0
N,Confluence,PRI,2019,2019,351,351,1
Y,Confluence,PRI,2019,2019,0,351,0
N,Confluence,RIV,2010,2010,364,364,1
Y,Confluence,RIV,2010,2010,0,364,0
N,Confluence,RIV,2011,2011,363,363,1
Y,Confluence,RIV,2011,2011,0,363,0
N,Confluence,RIV,2012,2012,329,329,1
Y,Confluence,RIV,2012,2012,0,329,0
N,Confluence,RIV,2013,2013,363,363,1
Y,Confluence,RIV,2013,2013,0,363,0
N,Confluence,RIV,2014,2014,364,364,1
Y,Confluence,RIV,2014,2014,0,364,0
N,Confluence,RIV,2015,2015,357,357,1
Y,Confluence,RIV,2015,2015,0,357,0
N,Confluence,RIV,2016,2016,366,366,1
Y,Confluence,RIV,2016,2016,0,366,0
N,Confluence,RIV,2017,2017,361,361,1
Y,Confluence,RIV,2017,2017,0,361,0
N,Confluence,RIV,2018,2018,364,364,1
Y,Confluence,RIV,2018,2018,0,364,0
N,Confluence,RIV,2019,2019,364,364,1
Y,Confluence,RIV,2019,2019,0,364,0
N,Confluence,RVB,2010,2010,363,363,1
Y,Confluence,RVB,2010,2010,0,363,0
N,Confluence,RVB,2011,2011,364,364,1
Y,Confluence,RVB,2011,2011,0,364,0
N,Confluence,RVB,2012,2012,366,366,1
Y,Confluence,RVB,2012,2012,0,366,0
N,Confluence,RVB,2013,2013,363,363,1
Y,Confluence,RVB,2013,2013,0,363,0
N,Confluence,RVB,2014,2014,365,365,1
Y,Confluence,RVB,2014,2014,0,365,0
N,Confluence,RVB,2015,2015,362,362,1
Y,Confluence,RVB,2015,2015,0,362,0
