contrast,estimate,SE,df,z.ratio,p.value,Sig
fWY2000 - fWY2004,-0.1643846353356356,0.10101422091938576,Inf,-1.6273415152785518,0.9872491234636132,no
fWY2000 - fWY2007,0.3232280889740176,0.10204368490535413,Inf,3.167546225656323,0.152339134197798,no
fWY2000 - fWY2009,0.09437360187980563,0.10190720831813276,Inf,0.9260738610873454,0.999995400605155,no
fWY2000 - fWY2013,-0.16037512005335725,0.10093968837459519,Inf,-1.58882123212222,0.9902958093208634,no
fWY2000 - fWY2018,0.04133161484716071,0.10204590004054331,Inf,0.405029646764245,0.9999999999978955,no
fWY2001 - fWY2002,-0.08358856985708864,0.09920893004854955,Inf,-0.8425508652918963,0.9999990250123338,no
fWY2001 - fWY2003,-0.14899263803330667,0.09813226910965671,Inf,-1.518283836551427,0.9943274851619017,no
fWY2001 - fWY2004,-0.32220505186632886,0.09821852716684724,Inf,-3.2804915850447225,0.11176730817247316,no
fWY2001 - fWY2005,0.26223924602464443,0.0981322691096567,Inf,2.6723039057785205,0.44894578450153877,no
fWY2001 - fWY2007,0.16540767244332433,0.09925406976655402,Inf,1.666507709279467,0.9833993898516946,no
fWY2001 - fWY2008,0.2115146083434818,0.09813226910965671,Inf,2.155403215094592,0.8273871928977045,no
fWY2001 - fWY2009,-0.06344681465088765,0.09912691643666978,Inf,-0.6400563735019698,0.9999999912926274,no
fWY2001 - fWY2013,-0.31819553658405053,0.09813226910965671,Inf,-3.242516854761473,0.12433745257923634,no
fWY2001 - fWY2017,0.26223924602464443,0.09813226910965671,Inf,2.67230390577852,0.4489457845015392,no
fWY2001 - fWY2018,-0.11648880168353257,0.09925561767927157,Inf,-1.1736242684010816,0.9998214755175839,no
fWY2001 - fWY2019,0.21532938013464353,0.09925561767927157,Inf,2.169442749633028,0.8192642219967393,no
fWY2002 - fWY2003,-0.06540406817621805,0.09688937422698521,Inf,-0.675038606638064,0.9999999778618347,no
fWY2002 - fWY2004,-0.23861648200924024,0.0969762410291431,Inf,-2.460566417887158,0.6148038051627143,no
fWY2002 - fWY2007,0.24899624230041295,0.09801892564953589,Inf,2.540287405216953,0.5520289409522794,no
fWY2002 - fWY2008,0.2951031782005704,0.09688937422698521,Inf,3.0457744262980238,0.2074235617873621,no
fWY2002 - fWY2009,0.020141755206200984,0.09801281555504196,Inf,0.20550124075243806,1,no
fWY2002 - fWY2013,-0.2346069667269619,0.09688937422698521,Inf,-2.421390050237523,0.6451833653283625,no
fWY2002 - fWY2018,-0.032900231826443936,0.09802014125691795,Inf,-0.3356476679645872,1,no
fWY2002 - fWY2019,0.29891794999173216,0.09802014125691795,Inf,3.0495564091082707,0.20552784118177003,no
fWY2003 - fWY2004,-0.17321241383302222,0.09574047396383338,Inf,-1.809186926507742,0.9610406321594245,no
fWY2003 - fWY2007,0.31440031047663103,0.09679050986000845,Inf,3.248255546244765,0.1223702166093571,no
fWY2003 - fWY2009,0.08554582338241903,0.09679503065992469,Inf,0.883783214894284,0.9999978525533992,no
fWY2003 - fWY2013,-0.16920289855074386,0.095653021047344,Inf,-1.7689237276363279,0.968873651395568,no
fWY2003 - fWY2018,0.03250383634977411,0.09679138815362111,Inf,0.33581330911574586,1,no
fWY2004 - fWY2009,0.2587582372154412,0.09688191203223402,Inf,2.670862205210696,0.450046121741163,no
fWY2004 - fWY2013,0.004009515282278359,0.09574047396383338,Inf,0.0418789997195228,1,no
fWY2004 - fWY2014,-0.27859918036989195,0.09574047396383338,Inf,-2.9099415203974726,0.28338927130178526,no
fWY2004 - fWY2018,0.20571625018279632,0.0968782638404007,Inf,2.1234510408000045,0.8451127055267567,no
fWY2005 - fWY2006,0.18043478260869644,0.09565302104734398,Inf,1.8863469301130518,0.9420389080701792,no
fWY2005 - fWY2007,-0.09683157358132011,0.09679050986000842,Inf,-1.000424253590265,0.9999842278633173,no
fWY2005 - fWY2008,-0.05072463768116264,0.09565302104734397,Inf,-0.5302983337667528,0.9999999996961458,no
fWY2005 - fWY2009,-0.3256860606755321,0.09679503065992465,Inf,-3.3646981508770115,0.08748082417443248,no
fWY2005 - fWY2010,0.1952898550724626,0.09565302104734395,Inf,2.0416485850018566,0.8854831250696722,no
fWY2005 - fWY2012,0.10326086956521746,0.09565302104734395,Inf,1.0795358937393933,0.9999487328668827,no
fWY2005 - fWY2017,0,0.09565302104734393,Inf,0,1,no
