contrast,estimate,SE,df,z.ratio,p.value,Sig
fWY2005 - fWY2007,-0.1303807809568272,0.09766974115428623,Inf,-1.334914779295547,0.9989084407646234,no
fWY2005 - fWY2008,-0.11485507246377397,0.09652191953959642,Inf,-1.189937715822743,0.9997817450189486,no
fWY2005 - fWY2010,0.18115942028985854,0.09652191953959643,Inf,1.8768733688055286,0.9446744501606898,no
fWY2005 - fWY2012,0.08043478260867876,0.09652191953959642,Inf,0.8333317757494638,0.9999991883215109,no
fWY2005 - fWY2017,0.048550724637679954,0.09652191953959642,Inf,0.5030020628398596,0.9999999998833422,no
fWY2005 - fWY2019,-0.01291109441655347,0.09767071412823207,Inf,-0.13219002780713232,1,no
fWY2006 - fWY2007,-0.32893150559451884,0.09766974115428621,Inf,-3.3677933585890716,0.08667712052943188,no
fWY2006 - fWY2008,-0.3134057971014656,0.096521919539596407,Inf,-3.2469909280336724,0.12280163525258092,no
fWY2006 - fWY2010,-0.017391304347833092,0.09652191953959642,Inf,-0.18017984340539991,1,no
fWY2006 - fWY2012,-0.11811594202901288,0.09652191953959643,Inf,-1.2237214364614648,0.99967352253185,no
fWY2006 - fWY2017,-0.15000000000001168,0.09652191953959643,Inf,-1.554051149371069,0.992506493244651,no
fWY2006 - fWY2019,-0.2114618190542451,0.09767071412823206,Inf,-2.1650483560160776,0.8218282995356185,no
fWY2007 - fWY2008,0.015525708493053236,0.09766974115428623,Inf,0.1589612945582368,1,no
fWY2007 - fWY2009,-0.24472366139269733,0.09881480793635734,Inf,-2.4765889496067635,0.6022595247689073,no
fWY2007 - fWY2010,0.31154020124668574,0.09766974115428623,Inf,3.189731001278627,0.14359938971583697,no
fWY2007 - fWY2012,0.21081556356550596,0.09766974115428621,Inf,2.158453181855846,0.8256396622632924,no
fWY2007 - fWY2017,0.17893150559450716,0.09766974115428621,Inf,1.8320055267869908,0.9559908580513499,no
fWY2007 - fWY2018,-0.24313637406578276,0.09881073445370402,Inf,-2.4606271313538297,0.6147563820704998,no
fWY2007 - fWY2019,0.11746968654027373,0.09881073445370402,Inf,1.1888352737152463,0.9997846595566442,no
fWY2008 - fWY2009,-0.26024936988575054,0.09767439434780248,Inf,-2.664458496246675,0.454943181801024,no
fWY2008 - fWY2010,0.2960144927536325,0.09652191953959642,Inf,3.066811084628272,0.19703076714050793,no
fWY2008 - fWY2012,0.19528985507245272,0.096521919539596407,Inf,2.0232694915722074,0.893540312128604,no
fWY2008 - fWY2017,0.16340579710145392,0.096521919539596407,Inf,1.692939778662603,0.9803130909869007,no
fWY2008 - fWY2018,-0.258662082558836,0.09767071412823206,Inf,-2.648307477502807,0.46736016030622207,no
fWY2008 - fWY2019,0.1019439780472205,0.09767071412823206,Inf,1.0437517423429306,0.9999694427013769,no
fWY2009 - fWY2013,-0.24808396344757358,0.09767439434780248,Inf,-2.5399078755910924,0.5523289080079349,no
fWY2009 - fWY2018,0.0015872873269145715,0.09881609544017417,Inf,0.016063044384055394,1,no
fWY2010 - fWY2012,-0.10072463768117978,0.096521919539596407,Inf,-1.0435415930560652,0.9999695377019643,no
fWY2010 - fWY2017,-0.1326086956521786,0.096521919539596407,Inf,-1.3738713059656695,0.9983983341289406,no
fWY2010 - fWY2019,-0.194070514706412,0.09767071412823206,Inf,-1.986987772523261,0.90835182999,no
fWY2012 - fWY2017,-0.0318840579709988,0.096521919539596407,Inf,-0.3303297129096043,1,no
fWY2012 - fWY2019,-0.09334587702523223,0.09767071412823206,Inf,-0.9557202264609047,0.9999923640877694,no
fWY2013 - fWY2014,-0.3079710144927436,0.096521919539596407,Inf,-3.1906847269692347,0.14323234678644758,no
fWY2013 - fWY2018,0.24967125077448815,0.09767071412823206,Inf,2.5562549941704567,0.5394122995190207,no
fWY2014 - fWY2016,-0.08442028985509292,0.096521919539596407,Inf,-0.8746229898635718,0.9999981905678478,no
fWY2017 - fWY2019,-0.061461819054233424,0.09767071412823206,Inf,-0.6292758233910329,0.999999993546316,no
fWY2000 - fWY2005,0.532019822020799,0.10185703796249294,Inf,5.223201387583114,3.240984915431344e-5,yes
fWY2000 - fWY2006,0.7305705466584906,0.10185703796249293,Inf,7.172509247004713,1.399601545770679e-10,yes
